0,1,2
187.27,564.678,206.433
187.27,564.678,206.433
187.27,564.678,206.433
187.27,564.678,206.433
187.27,564.678,206.433
187.27,564.678,206.432
187.274,564.68,206.404
187.273,564.679,206.376
187.274,564.679,206.367
187.273,564.678,206.357
187.273,564.678,206.348
187.274,564.679,206.344
187.273,564.679,206.335
187.275,564.679,206.333
187.274,564.679,206.325
187.274,564.679,206.322
187.275,564.679,206.318
187.273,564.679,206.313
187.275,564.679,206.312
187.274,564.68,206.308
187.273,564.68,206.307
187.274,564.68,206.304
187.273,564.68,206.303
187.275,564.68,206.302
187.274,564.68,206.298
187.274,564.68,206.298
187.275,564.68,206.294
187.274,564.68,206.293
187.275,564.68,206.291
187.275,564.68,206.29
187.273,564.681,206.29
187.275,564.681,206.288
187.273,564.681,206.287
187.274,564.681,206.284
187.273,564.68,206.284
187.275,564.68,206.281
187.274,564.681,206.281
187.275,564.681,206.279
187.274,564.681,206.279
187.274,564.681,206.276
187.275,564.68,206.275
187.275,564.68,206.274
187.276,564.681,206.273
187.275,564.681,206.273
187.275,564.681,206.27
187.276,564.681,206.271
187.273,564.681,206.257
187.276,564.68,206.255
187.075,564.639,204.117
186.768,564.574,201.487
186.762,564.567,201.473
186.768,564.571,201.477
186.774,564.578,201.49
186.52,563.308,200.885
175.817,521.364,183.819
148.983,527.398,183.987
125.384,556.145,221.368
109.794,533.923,222.583
112.036,542.187,223.516
126.781,587.985,237.626
132.307,606.88,247.311
137.611,612.578,251.191
190.663,598.187,251.18
252.231,574.939,251.173
309.531,546.227,251.169
351.937,519.824,251.003
404.175,480.396,249.836
445.072,438.379,227.563
430.997,417.887,147.078
374.146,403.854,104.614
284.412,468.208,104.139
203.619,508.579,104.141
155.336,532.639,110.043
167.281,592.614,170.497
171.236,605.709,186.726
184.635,636.983,232.242
234.435,663.088,301.914
330.882,664.745,362.38
405.347,637.877,377.711
455.272,603.363,376.111
480.796,585.898,356.397
484.151,581.647,258.894
441.323,534.107,128.164
407.19,495.671,80.885
365.664,447.186,33.322
355.707,434.204,22.258
370.528,436.565,22.868
403.3,469.959,31.396
439.712,508.982,65.77
459.213,538.018,103.829
393.581,601.845,125.802
296.273,655.381,127.619
209.169,686.992,126.492
147.025,675.278,110.683
106.687,633.814,81.942
130.726,521.71,49.633
176.56,504.015,50.595
252.85,504.301,44.958
316.883,515.332,44.997
367.153,564.509,97.65
376.309,609.589,175.828
329.813,645.122,192.768
260.167,676.249,192.857
220.219,690.485,193.277
204.306,697.511,196.957
219.331,665.509,148.79
198.25,627.192,131.047
185.345,591.418,165.31
226.188,574.634,167.799
276.461,549.408,164.385
296.529,563.702,183.001
322.669,604.365,193.442
318.301,596.338,173.112
296.18,557.368,121.619
269.531,515.455,113.657
241.719,470.126,123.767
286.612,504.656,176.485
328.423,550.813,188.978
367.968,558.633,195.266
412.601,526.464,195.136
454.977,490.214,194.067
464.782,479.405,172.013
488.249,497.48,131.268
493.742,501.961,128.256
493.739,501.963,128.256
493.738,501.964,128.253
493.738,501.963,128.251
493.737,501.965,128.252
493.738,501.964,128.249
493.737,501.965,128.251
493.737,501.964,128.247
493.736,501.964,128.248
493.736,501.964,128.245
493.736,501.964,128.247
493.737,501.965,128.245
493.738,501.964,128.245
493.736,501.964,128.244
493.737,501.963,128.242
493.736,501.964,128.242
493.736,501.963,128.241
493.736,501.964,128.243
493.737,501.964,128.241
493.736,501.964,128.241
493.736,501.963,128.238
493.736,501.963,128.24
493.735,501.964,128.238
493.736,501.964,128.239
493.735,501.965,128.238
493.736,501.964,128.239
493.734,501.965,128.237
493.735,501.964,128.236
493.734,501.965,128.236
493.734,501.964,128.235
493.722,501.966,128.22
512.996,482.273,128.222
551.365,437.869,128.161
550.288,406.37,77.444
510.417,379.361,29.309
457.464,347.941,28.005
484.24,367.784,69.173
538.47,406.244,133.606
565.519,425.428,175.112
587.021,439.8,195.269
569.357,478.329,198.558
522.471,529.144,198.553
472.617,574.202,198.573
436.322,614.789,202.495
462.107,647.165,224.624
464.716,649.928,223.583
464.582,649.788,221.973
439.193,620.876,177.467
420.02,595.854,157.699
450.777,572.944,157.603
484.731,544.417,156.744
508.882,522.49,156.226
521.6,532.714,162.353
501.954,515.207,145.129
497.232,511.108,143.526
497.232,511.112,143.528
497.234,511.11,143.526
497.233,511.112,143.528
497.234,511.111,143.526
497.234,511.113,143.529
497.235,511.112,143.528
497.235,511.113,143.529
497.235,511.113,143.528
497.236,511.111,143.528
497.235,511.113,143.527
497.235,511.114,143.53
