0,1,2
-142.77,4.826,155.948
-142.77,4.825,155.948
-142.77,4.826,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.77,4.825,155.948
-142.923,4.821,156.068
-142.953,4.547,158.352
-139.468,3.744,168.226
-137.205,2.879,174.855
-136.637,2.612,176.564
-136.637,2.612,176.564
-136.638,2.612,176.563
-137.333,2.612,176.564
-143.41,2.612,176.563
-151.87,2.612,176.563
-158.709,2.611,176.563
-161.898,2.611,176.563
-158.934,1.549,176.385
-153.48,-0.522,176.05
-145.229,-0.525,176.05
-136.609,1.776,176.469
-133.783,22.383,-179.869
-132.774,42.883,-175.669
-134.825,55.629,-171.808
-139.847,58.644,-170.561
-147.821,51.888,-173.2
-154.403,27.782,-179.058
-156.672,-11.133,174.228
-154.052,-22.21,172.226
-145.418,-23.43,171.988
-135.543,-23.429,171.987
-127.999,-17.483,173.323
-129.061,7.301,177.855
-128.915,24.597,-179.283
-128.759,37.223,-176.998
-133.41,44.998,-175.252
-141.514,44.841,-175.295
-147.853,29.775,-178.677
-149.055,9.178,177.591
-153.091,11.315,177.968
-153.843,10.809,178.047
-153.981,0.602,176.509
-153.367,-5.794,175.236
-153.046,0.711,176.157
-152.786,13.364,178.286
-152.206,27.402,-179.038
-157.384,27.402,-179.037
-164.556,27.123,-179.095
-166.385,14.37,178.479
-166.3,1.054,176.215
-159.344,-6.664,174.93
-150.544,-1.424,175.918
-149.474,29.009,-178.631
-148.526,43.637,-175.369
-149.314,34.339,-177.517
-149.582,26.516,-179.086
-149.603,25.192,-179.338
-149.602,25.216,-179.333
-149.881,20.7,179.96
-150.245,11.577,178.651
-150.398,1.847,177.345
-150.353,-6.497,176.239
-150.273,-10.572,175.69
-149.25,23.132,-179.52
-149.017,23.666,-179.448
-141.563,21.152,-179.91
-131.447,10.169,178.123
-120.248,7.385,177.629
-112.371,6.459,177.466
-107.168,-4.761,175.413
-105.853,-9.033,174.585
-107.325,2.237,176.705
-113.094,13.153,178.651
-118.849,22.194,-179.718
-125.688,24.999,-179.193
-132.418,24.997,-179.193
-137.558,24.954,-179.198
-142.385,22.387,-179.671
-142.761,5.003,177.235
-139.099,-12.619,174.035
-131.688,-13.62,173.859
-123.27,-13.587,173.864
-114.028,-13.586,173.864
-104.804,-13.579,173.866
-105.339,-8.446,174.872
-106.489,4.981,177.231
-109.963,9.009,177.83
-112.376,12.231,178.392
-112.608,20.104,179.857
-112.886,24.395,-179.126
-112.379,36.853,-176.505
-111.935,42.151,-175.204
-115.841,42.764,-175.076
-119.129,33.041,-177.332
-121.353,18.545,179.848
-128.1,16.956,179.56
-134.768,16.959,179.56
-139.493,16.962,179.562
-142.319,16.963,179.561
-142.084,16.953,179.559
-137.118,16.645,179.503
-128.611,16.644,179.503
-121.395,16.644,179.503
-121.318,16.646,179.503
-121.317,16.646,179.503
-121.318,16.647,179.503
-121.318,16.646,179.503
-121.318,16.647,179.503
-121.318,16.647,179.504
-121.318,16.647,179.503
-121.318,16.647,179.503
-121.318,16.647,179.503
-121.319,16.647,179.503
