0,1,2
308.228,210.979,186.426
308.228,210.979,186.426
308.228,210.979,186.426
308.228,210.979,186.426
308.228,210.979,186.426
308.227,210.979,186.426
300.18,222.234,186.432
258.651,269.331,186.441
213.758,311.32,189.257
201.105,382.28,241.74
152.436,416.966,256.196
146.107,456.433,305.741
128.845,413.097,299.327
113.193,366.685,293.405
133.792,338.807,271.008
135.0,338.973,270.832
136.015,339.473,270.591
164.13,397.088,263.371
211.815,486.799,269.02
200.626,463.019,196.764
193.349,444.463,156.225
241.369,408.706,135.426
303.087,365.066,135.074
313.552,307.68,130.906
338.922,271.198,130.914
361.898,280.07,161.366
375.454,293.011,219.415
369.291,328.063,265.317
324.332,376.93,272.055
270.905,416.97,272.015
240.12,417.425,251.147
225.517,393.191,210.693
252.036,428.727,209.861
251.877,428.513,209.843
251.871,428.519,209.845
251.869,428.52,209.845
251.863,428.524,209.845
251.86,428.525,209.845
251.853,428.529,209.847
251.855,428.529,209.845
